River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.60,2.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.73,4.63,Normal,,8.8
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.10,12.00,Normal,,34.7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.91,1.49,Normal,,16.7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.61,1.56,Normal,,82.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.91,0.93,Normal,,24.7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.13,1.12,Normal,,26.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.69,1.69,Normal,,35.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.60,7.63,Normal,,67.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.21,4.07,Normal,,30.7
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.81,2.67,Normal,,6.7
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.81,4.82,Normal,,32.9
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.25,3.25,Normal,,5.3
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.54,2.53,Normal,,55.8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.40,1.40,Alert,,6.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.78,4.75,Normal,,8.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.52,1.48,Normal,,4.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.86,0.85,Normal,,32.8
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.60,3.58,Alert,Falling,63.7
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.81,1.77,Normal,,1.5
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.31,1.31,Normal,,0.7
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.94,1.91,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.16,0.15,Normal,,9.6
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.84,1.80,Normal,,48.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.90,0.87,Normal,,2.2
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.06,1.03,Normal,,5.9
,,Manampitiya ( Old),m,3.50,5.00,6.00,2.09,2.31,Normal,,0.3
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,3.23,3.45,Normal,,0.3
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,1.07,0.90,Normal,,20.7
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.34,4.30,Normal,,47.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.44,Normal,,78.6
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.98,0.97,Normal,,42.6
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.95,3.17,Normal,,17.9
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,2.32,2.36,Normal,,23.6
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.84,4.84,Normal,,64.3
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.29,2.47,Normal,,14.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.11,5.20,Alert,Rising,14.4
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.40,4.35,Normal,,66.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.31,3.17,Normal,,14.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.41,3.38,Alert,Falling,7.2
