River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.80,0.95,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.06,2.03,Normal,,3.8
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.98,9.96,Normal,,10.3
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.71,1.73,Normal,,17.1
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.79,0.84,Normal,,12.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.72,0.73,Normal,,10.5
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.90,Normal,,18.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.80,0.71,Normal,,5.7
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.43,5.42,Normal,,9.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.83,1.88,Normal,,13.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.79,1.79,Normal,,27.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.49,3.45,Normal,,12.1
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.65,2.62,Normal,,18.4
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.18,2.22,Normal,,12.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.76,1.75,Minor Flood,Falling,42.1
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.29,5.26,Alert,Falling,38.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.60,1.64,Normal,,16.6
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.16,1.20,Normal,,20.3
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.15,3.20,Alert,Rising,46.7
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.50,2.90,Normal,,62.5
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.85,1.85,Normal,,47.1
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.25,3.45,Normal,,60.4
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,3.75,3.92,Normal,,108.7
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,4.81,4.50,Normal,,62.3
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,4.97,5.23,Alert,Rising,123.6
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,4.12,5.31,Minor Flood,Rising,115.1
,,Manampitiya ( Old),m,3.50,5.00,6.00,2.26,2.42,Normal,,76.6
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,3.40,3.56,Normal,,76.6
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,0.18,0.43,Normal,,70.5
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.70,2.72,Normal,,21.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.19,1.25,Normal,,20.8
,Badulu Oya,Taldena,m,3.00,4.00,5.00,2.29,2.28,Normal,,49.4
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.81,2.91,Normal,,42.9
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.95,0.99,Normal,,36.1
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.36,2.42,Normal,,21.2
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.82,0.82,Normal,,7.5
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.45,1.45,Normal,,4.6
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.48,2.49,Normal,,6.4
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.35,1.37,Normal,,12.1
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.64,1.64,Normal,,4.9
