දින්‍ය : 2026-06-08,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,26,90,65,වැසි ස්වල්පයක්
මඩකලපුව,34,27,80,60,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,31,26,95,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,26,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,27,90,75,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,30,22,95,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,20,14,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,31,25,95,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,36,27,85,50,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,31,28,85,75,වැසි ස්වල්පයක්
