River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.08,3.10,Normal,,12.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.80,10.85,Normal,,10.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.83,1.60,Normal,,13.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.82,0.82,Normal,,7.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.23,1.21,Normal,,20.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.99,Normal,,3.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.45,3.41,Alert,Falling,9.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.58,7.57,Normal,,32.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.36,3.31,Normal,,7.7
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.85,2.83,Normal,,6.1
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.83,6.80,Minor Flood,Falling,26.4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.87,3.85,Alert,Falling,33.3
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.94,2.99,Normal,,23.7
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.88,1.88,Minor Flood,,11.1
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.45,5.48,Alert,Rising,17.6
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.18,2.16,Normal,,9.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.48,1.43,Normal,,24.7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.28,1.30,Normal,,12.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.40,0.39,Normal,,14.5
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.61,0.61,Normal,,3.6
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.60,1.61,Normal,,5.6
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,21.7
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.74,0.73,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.37,0.38,Normal,,0.5
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.29,0.30,Normal,,2.5
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.06,0.04,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.84,-2.95,Normal,,2.3
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.71,1.75,Normal,,0.2
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.32,1.32,Normal,,1.9
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.28,0.27,Normal,,4.6
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.52,1.52,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.48,0.48,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.06,1.06,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.33,0.33,Normal,,2.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.64,0.64,Normal,,1.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.79,2.80,Normal,,10.2
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.47,1.47,Normal,,28.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.52,2.52,Normal,,55.1
