"Locations for Potential Risk
නායයෑපම් අවදානම ෙැවතිය හැකි ප්‍රපේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,"Welimada and
Haldummulla
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Galle,"Elpitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kalutara,"↓ Bulathsinhala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kandy,"↓ Yatinuwara and
↓ Udapalatha
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"Warakapola and
Yatiyanthota
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Dehiowita,
Kegalle,
Mawanella and
Bulathkohupitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kurunegala,"Polgahawela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matara,"Kotapola,
Akuressa and
↓ Pasgoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Ratnapura,"↓ Pelmadulla,
↓ Elapatha,
Balangoda,
Imbulpe,
Ayagama,
Nivithigala,","Kuruwita,
Eheliyagoda and
Ratnapura
Divisional Secretariat",
