,"Bulathkohupitiya,
Galigamuwa,
Yatiyanthota,
* Deraniyagala,
Mawanella and
* Warakapola
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kurunegala,"Rideegama,
Mawathagama and
Mallawapitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Narammala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Matale,"↓ Rattota and
↓ Ukuwela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,"Ambagamuwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Ratnapura,"Elapatha,
Kiriella,
Nivithigala and
Kuruwita
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Eheliyagoda,
Ratnapura,
Ayagama and
Kalawana
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas and,,,
given weather forecast by meteorological department of Sri Lanka,,,
