River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,3.05,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.31,5.24,Normal,,0.9,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.28,12.20,Normal,,,,6.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.27,Normal,,13.4,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.38,1.36,Normal,,2.2,,,
,"Seethawaka
Ganga",Deraniyagala,m,4.80,5.80,6.40,1.36,1.35,Normal,,10.2,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.82,Normal,,,3.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.87,2.85,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.74,7.71,Normal,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.66,2.67,Normal,,7.,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.46,3.42,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.74,6.72,Minor Flood,Falling,0.6,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.17,2.15,Normal,,0.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.11,3.19,Normal,,0.0,,,
"Nilwala
Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.19,1.19,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.02,4.02,Normal,,1.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.91,0.90,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.29,0.29,Normal,,1.8,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.65,3.60,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.37,2.32,Normal,,0.0,,,
"Attanagalu
Oya (RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.03,4.00,Alert,Falling,0.0,,,
