දිනය : 2026-05-27,,,,,
නගරය,උෂ්ණත්වය(මස. අංශක),,සාමේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උ රිම,අවම,උ රිම,අවම,
අනුරාධපුරය,32,26,95,60,වැසි ස්වල්පයක්
මඩකලපුව,35,27,90,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,31,26,95,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,26,90,80,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,31,27,85,75,ප්‍රධාන වශහයන් වැසි රහිත
ම නුවර,29,23,95,70,විටින් විට වැසි
නුවරඑළිය,20,15,95,80,විටින් විට වැසි
රත්නපුරය,30,24,95,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,35,26,85,55,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,31,28,85,70,වැසි ස්වල්පයක්
