River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,2.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.49,4.50,Normal,,48.9,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.77,11.76,Normal,,21.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.86,Normal,,5.6,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.34,1.40,Normal,,28.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.33,1.30,Normal,,6.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.85,Normal,,3.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.74,3.72,Alert,Falling,16.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.20,9.19,Normal,,45.5,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.44,4.38,Normal,,33.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.45,4.45,Alert,,18.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.33,7.31,Minor Flood,Falling,46.9,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.03,2.97,Normal,,50.6,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.32,4.32,Minor Flood,,85.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.50,2.51,Minor Flood,Rising,99.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.72,6.71,Minor Flood,Falling,38.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.39,2.36,Normal,,22.6,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.53,1.51,Normal,,29.9,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.84,0.84,Normal,,6.9,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.18,-0.18,Normal,,7.8,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.44,0.44,Normal,,6.2,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.98,0.98,Normal,,5.2,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.24,-0.24,Normal,,22.8,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.70,0.71,Normal,,0.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.06,0.06,Normal,,1.6,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.44,-1.44,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.30,-0.30,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.07,-3.10,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.25,2.10,Normal,,12.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.53,1.52,Normal,,5.8,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.21,0.22,Normal,,0.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.37,1.37,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.30,0.30,Normal,,1.4,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.03,0.03,Normal,,22.8,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.30,0.30,Normal,,9.6,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.35,3.36,Normal,,70.1,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.02,2.04,Normal,,67.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.42,3.44,Alert,Rising,52.7,,
