River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.65,2.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.46,3.42,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.06,11.00,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.26,2.15,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.07,1.06,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.94,0.90,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.07,1.07,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.72,1.79,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.84,7.86,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.25,4.12,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.60,2.49,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.08,5.08,Alert,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.69,3.69,Alert,,1.9
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.41,2.33,Normal,,0.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.61,1.61,Alert,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.04,5.03,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.71,1.69,Normal,,1.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.17,1.17,Normal,,11.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.92,1.92,Alert,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.92,3.88,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.86,3.83,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.64,2.59,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.02,3.98,Alert,Falling,0.0
