River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
6
Level
Rising or
Falling","Hr RF in
mm at 3:00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.90,3.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.08,4.02,Normal,,0.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.35,11.31,Normal,,1.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.77,1.76,Normal,,2.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.13,1.13,Normal,,7.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.12,Normal,,0.5
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,1.01,Normal,,3.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.45,2.45,Normal,,8.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.99,7.95,Normal,,4.4
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.09,3.12,Normal,,4.8
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.54,3.51,Normal,,3.6
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.89,5.88,Alert,Falling,3.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.83,2.81,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.17,2.17,Normal,,2.1
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.81,0.80,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.15,3.11,Normal,,0.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.77,0.78,Normal,,9.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.26,0.27,Normal,,4.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.90,0.90,Normal,,4.3
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.85,0.71,Normal,,3.8
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.89,0.88,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.18,1.18,Normal,,1.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,3.9
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.80,0.80,Normal,,5.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.51,0.51,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.25,0.25,Normal,,5.2
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.24,0.29,Normal,,22.7
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.23,-2.25,Normal,,2.4
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.32,2.30,Normal,,4.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.61,1.59,Normal,,11.7
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.31,0.35,Normal,,0.5
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.49,1.50,Normal,,11.9
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.60,0.62,Normal,,24.3
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.97,2.02,Normal,,24.1
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.70,0.73,Normal,,13.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.02,3.98,Normal,,4.9
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.68,3.64,Normal,,1.6
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.55,2.53,Normal,,11.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.50,2.52,Normal,,10.8
