River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,1.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.73,2.71,Normal,,11.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.66,10.60,Normal,,49.2
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.69,1.70,Normal,,24.9
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.72,0.71,Normal,,56.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.92,0.87,Normal,,47.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.64,0.64,Normal,,1.2
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.19,1.12,Normal,,3.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.48,5.49,Normal,,2.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.38,1.36,Normal,,14.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.93,1.93,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.03,3.97,Normal,,21.2
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.73,1.74,Normal,,1.8
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.60,2.59,Normal,,27.4
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.59,1.57,Alert,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.46,4.44,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.20,1.21,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.65,0.65,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.50,0.50,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.02,0.02,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.54,0.54,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.11,1.10,Normal,,1.6
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.83,0.81,Normal,,0.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,42.7
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.32,-1.32,Normal,,3.1
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.18,-0.18,Normal,,3.1
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.03,-3.07,Normal,,8.2
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.40,1.55,Normal,,0.9
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.21,1.19,Normal,,6.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.39,0.37,Normal,,54.5
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.40,1.40,Normal,,0.2
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.37,0.37,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.40,0.40,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.08,-0.10,Normal,,1.1
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.16,-0.16,Normal,,13.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.43,2.45,Normal,,19.2
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.22,1.21,Normal,,3.1
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.78,2.76,Normal,,6.2
