"මධයම පලාත
kj;jpa khfhzk;
Central",13,"නුවර
fz;b
Kandy",Kundasale,"Heavy Rain/
Land Slide/ High
Wind/ Cutting
Failure","2019.12.01 -
2019.12.06",50,186,,,,,4,1,,,,,
,,,Paathahewaheta,,,7,32,,,,,,,,,,,
,,,Gangaihalakorale,,,2,9,,,,,2,,,,,,
,,,Medadumbara,,,11,50,,,,,11,,,,,,
,,,Akurana,,,9,48,,,,,,,,,,,
,,,Pasbagekorale,,,3,6,,,,,3,,,,,,
,,,Deltota,,,6,23,,,,,6,,,,,,
,,,Udapalatha,,,5,22,,,,,5,,,,,,
,,,Harispattuwa,,,3,8,,,,,3,,,,,,
,,,Gagawatakorale,,,2,4,,,,,2,,,,,,
,,,Yatinuwara,,,2,4,,,,,2,,,,,,
,,,Minipe,,,3,18,,,,,3,,,,,,
,,,Doluwa,,,5,26,,,,,1,,,,,,
,,,Panwila,,,5,13,,,,,5,,,,,,
,,,Ududumbara,,,9,30,,,,2,7,,,,,,
,,,Poojapitiya,,,3,6,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total,,,,,125,485,0,0,0,2,54,1,0,0,0,0,
,14,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwara Eliya,Flood,2019.11.30,26,122,,,,,2,,,1,1,6,"Lipakele Child Protection
Center"
,,,,Flood,2019.12.03,3,13,,,,,,,,1,3,13,Park Collage
,,,,Tree Fallen,2019.11.30,1,2,,,,,1,,,,,,
,,,,Land Slide Risk,2019.11.30,3,18,,,,,1,,,,,,
,,,,Land Slide,2019.11.30,15,59,,,,,5,,,,,,
,,,Walapane,Land Slide Risk,2019.12.03,4,15,,,,,,,,1,4,15,"Naranthalawa wewkale
Tempal"
,,,,Land Slide Risk,2019.11.30,12,25,,,,,,,,,,,
,,,,Land Slide,2019.12.03,2,9,,,,,,,,1,2,9,"Brooksite Child Protection
Center"
,,,,Land Slide,2019.12.01,24,74,,,,,,,,2,24,74,"Munwatta Temple &
Ekagapura Callage"
,,,,Heavy Rain,2019.11.30,6,17,,,,,,,,1,6,17,Maagrt Collage
,,,,Rock Falean,2019.12.02,1,5,,,,,,,,,,,
,,,,Cutting Failure,2019.12.02,5,22,,,,,2,,,,,,
,,,,Cutting Failure,2019.12.02,1,5,,,,,1,,,,,,
,,,,Land Slide,2019.11.30,25,69,3,,1,,1,,,1,25,69,Seethan Tamil Collage
,,,Kothmale,Heavy Rain,2019. Dec,8,39,,,,,5,,,,,,
,,,Hankuranketha,Cutting Failure,2019.11.30,1,4,,,,,1,,,,,,
,,,Ambagamuwa,Flood,2019.11.30,50,237,,,,,1,,,,,,
,,,,Cutting Failure,2019.11.30,2,9,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total,,,,,189,744,3,0,1,0,21,0,0,8,65,203,
,15,"මාතගල්
khj;jis Matale",Raththota,Heavy Rain,2019.12.00,16,62,,,,,,,,1,16,62,"Pitakandara Tamil
School"
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total,,,,,16,62,0,0,0,0,0,0,0,1,16,62,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,330,1291,3,0,1,2,75,1,0,9,81,265,
,16,"අනුරාධපුර m.Guk;
Anuradhapura",N.P.E,Heavy Rain,2019.11.30,19,61,,,,,19,,,,,,
,,,Rajanganaya,,,19,63,,,,,19,,,,,,
,,,Nochchiyagama,,,10,27,,,,,10,,,,,,
,,,Nachchaduwa,,,3,12,,,,,3,,,,,,
,,,N.P.C,,,43,141,,,,,,,,,,,
,,,Palagala,,,1,,,,,1,,,,,,,
,,,Kahatagasdigiliya,,,2,,,,,,2,,,,,,
,,,Thalawa,,,2,,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total,,,,,99,304,0,0,0,1,55,0,0,0,0,0,
,,,Dimbulagala,High Wind,2019.12.02,13,44,,,,,13,,,,,,
,,,,Heavy Rain,2019.12.05,8,21,,,,2,6,,,,,,
,,,Elahara,High Wind,2019.12.01,3,5,,,,,3,,,,,,
,,,Thamankaduwa,Flash flood,2019.12.05,53,174,,,,1,5,,,,,,
,,,Lankapura,Flash flood,2019.12.05,60,219,,2,,,7,,,,,,
,,,Medirigiriya,Heavy Rain,2019.12.05,15,62,,,,,1,1,,,,,
