River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00
AM","Water
Level at
06:00
AM",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
06:00 AM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.83,4.75,Normal,,27.,,0,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.25,12.23,Normal,,32.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.05,2.12,Normal,,31.2,,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,2.45,2.48,Normal,,43.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.43,1.42,Normal,,38.4,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.96,Normal,,15.6,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.90,2.92,Normal,,12.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.99,8.99,Normal,,11.2,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.80,4.74,Normal,,6.6,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.86,4.82,Alert,Falling,46.9,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.20,7.20,Minor Flood,,10.8,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.18,4.18,Minor Flood,,4.7,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.67,2.63,Normal,,27.,,1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.60,1.56,Alert,Falling,2,1.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.14,5.10,Alert,Falling,8.2,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.38,1.35,Normal,,11.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.59,0.57,Normal,,15.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.93,0.92,Normal,,7.2,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.16,1.15,Normal,,7.1,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.08,1.05,Normal,,0.5,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.06,1.06,Normal,,3.4,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,8.1,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.7,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.14,Normal,,0.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.8,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.18,-0.18,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-2.93,Normal,,0.9,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.82,3.27,Normal,,40.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.98,1.96,Normal,,33.4,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.20,0.18,Normal,,0.3,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.70,1.70,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.41,0.39,Normal,,0.5,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.31,3.32,Normal,,10.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.15,2.10,Normal,,4.5,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.34,2.35,Normal,,31.1,,,
