River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.50,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.28,4.32,Normal,,3,8.9,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.17,12.36,Normal,,3,4.3,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,3.06,3.25,Alert,Rising,69.0,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.27,2.65,Normal,,4,0.4,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.30,2.85,Normal,,4,5.2,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.32,1.54,Alert,,60.5,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.71,1.73,Normal,,15.3,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.32,7.50,Normal,,4,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.55,3.83,Normal,,60.3,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.77,2.98,Normal,,3,5.9,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.00,5.00,Alert,,19.1,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.58,2.95,Normal,,62.0,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.31,2.33,Normal,,18.4,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.85,0.85,Normal,,4.8,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.80,3.90,Normal,,2,8.6,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.36,1.38,Normal,,2,9.3,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.50,0.55,Normal,,3,3.2,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.70,0.73,Normal,,2.9,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.08,0.08,Normal,,1.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.62,Normal,,3.2,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.05,1.05,Normal,,2.8,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.30,-0.30,Normal,,1.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.81,0.82,Normal,,1.3,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.50,Normal,,0.9,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.15,0.15,Normal,,2.5,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.53,-0.51,Normal,,8.8,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.61,0.63,Normal,,8.8,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.01,-2.15,Normal,,2.8,,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.80,5.39,Alert,Rising,54.6,,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,4.66,4.57,Alert,Falling,81.7,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.37,Normal,,5.5,,,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,2.22,2.44,Normal,,83.7,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.60,1.60,Normal,,14.3,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.37,0.36,Normal,,3,7.9,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.01,1.02,Normal,,3,1.6,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.09,0.09,Normal,,20.3,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.13,1.13,Normal,,3,0.6,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.78,2.80,Normal,,13.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.72,1.86,Normal,,3,7.3,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.32,2.34,Normal,,14.4,,,,
