River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.80,0.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.18,2.14,Normal,,78.8
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.85,9.75,Normal,,60.7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.20,1.17,Normal,,52.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.34,0.30,Normal,,20.2
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.71,0.68,Normal,,66.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.48,0.48,Normal,,1.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.11,1.06,Normal,,84.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.60,5.58,Normal,,34.2
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,0.96,0.98,Normal,,19.3
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.28,3.43,Normal,,40.5
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.64,3.67,Normal,,61.6
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.90,3.05,Normal,,76.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.80,2.87,Normal,,96.1
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.65,0.65,Normal,,47.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.96,4.08,Normal,,73.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.28,1.40,Normal,,59.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.45,0.50,Normal,,39.7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.34,0.34,Normal,,0.6
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.35,-0.35,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.45,0.46,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.86,0.86,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,,5.2
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.66,0.68,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.18,0.18,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.5
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.44,-1.44,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.30,-0.30,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.85,-2.89,Normal,,29.3
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.10,1.18,Normal,,5.1
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.95,0.95,Normal,,13.6
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.27,0.27,Normal,,0.8
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.49,1.49,Normal,,131.8
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,9.7
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.39,0.39,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.13,-0.13,Normal,,7.4
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.25,-0.25,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.87,1.87,Normal,,21.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.89,0.88,Normal,,22.2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.73,1.70,Normal,,56.5
