"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",8,"රත්නපුර
,uj;jpdGhp
Rathnapura",Opanayake,Heavy Rain & High wind,2020.08.06,13,43,Page 3,,,1,12,,,,,,
,,,Eheliyagoda,,,267,810,,,,11,249,,,,,,
,,,Ayagama,,,38,119,,,,1,35,,,,,,
,,,Rathnapura,,,223,903,,,,1,221,,,,,,
,,,Elapatha,,,8,31,,,,,8,,,,,,
,,,Balangoda,,,9,39,,,,1,7,,,,,,
,,,Kalawana,,,16,54,,,,,16,,,,,,
,,,Kuruvita,,,547,2156,,1,,,547,,,,,,
,,,Pelmadulla,,,44,182,,,,,44,,,,,,
,,,Weligepola,,,3,14,,,,,3,,,,,,
,,,Nivithigala,,,3,12,,,,,3,,,,,,
,,,Kiriella,,,215,867,,,,0,215,,,,,,
,,,Godakawela,,,4,22,,,,,4,,,,,,
,,,Colonna,,,1,4,,,,,1,,,,,,
,,,Imbulpe,,,3,13,,,,,3,,,,,,
,,,Kahawaththa,,,2,5,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1396,5274,0,1,0,15,1370,0,0,0,0,0,
,9,"කෑගල්ල
Nffhiy Kegalle",Dehiowita,High Wind,2020.08.06,54,203,,,,,4,,,,,,
,,,Mawanella,Tree Fallen,2020.08.06,9,34,,1,,,9,,,,,,
,,,,,2020.08.07,1,5,,,,,1,,,,,,
,,,,,2020.08.08,2,8,,,,,2,,,,,,
,,,,High Wind,2020.08.07,1,4,,,,,1,,,,,,
,,,,Wall Collapse,2020.08.08,1,4,,,,,1,,,,,,
,,,,Cutting Failure,,1,4,,,,,1,,,,,,
,,,,Rock Fallen,2020.08.09,1,4,,,,,1,,,,,,
,,,Warakapola,High Wind,2020.08.06,2,8,,,,,2,,,,,,
,,,Deraniyagala,,2020.08.06,20,84,,,,,20,,,,,,
,,,Bulathkohupititya,,2020.08.06,2,9,,,,,2,,,,,,
,,,Aranayaka,Tree Fallen,2020.08.06,4,13,,,,1,3,,,,,,
,,,,High Wind,2020.08.02,1,4,,,,,1,,,,,,
,,,,,2020.08.04,1,6,,,,,1,,,,,,
,,,,,2020.08.07,1,3,,,,,1,,,,,,
,,,Galigamuwa,Tree Fallen,2020.07.29,1,5,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,102,398,0,1,0,1,51,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1498,5672,0,2,0,16,1421,0,0,0,0,0,
,10,"කුරුණෑගල
FUdhfy;
Kurunegala",Pannala,High Wind,2020.08.05,1,4,,,,,1,,,,,,
,,,Wariyapola,,,1,1,,,,,1,,,,,,
,,,Polpitigama,,,7,26,,,,,7,,,,,,
,,,Giribawa,,,31,168,,,,8,23,,1,,,,
,,,Maho,,,1,4,,1,,,1,,1,,,,
,,,Polgahawela,,,3,10,,,,,3,1,,,,,
,,,Panduwasnuwara West,,,14,51,,,,,14,,,,,,
,,,Galgamuwa,,,3,15,,,,,1,1,,,,,
,,,Kurunegala,,,18,76,,,,,18,,,,,,
,,,Ambanpola,,,4,12,,,,,4,,,,,,
,,,Mallawapitiya,,,20,85,,,,,17,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,103,452,0,1,0,8,90,2,2,0,0,0,
