"Western
Nky; khfhzk
;බස්ත්‍රනාහිර පලාත",3,"කකාළඹ
nfhOk;G
Colombo",Moratuwa,Heavy Rain & High wind,2020.08.06,239,961,Page 2,8,,,238,3,,,,,
,,,Padukka,,,78,271,,,,,78,,,,,,
,,,Maharahgama,,,22,67,,,,,22,,,,,,
,,,Dehiwala,,,2,7,,,,,2,,,,,,
,,,Homagama,,,153,620,,,,,153,,,,,,
,,,Thimbirigasyaya,,,12,35,,,,,12,,,,,,
,,,Kesbewa,,,16,58,,,,,7,,,,,,
,,,Seethawaka,,,133,553,,,,,133,,,,,,
,,,Kolonnawa,,,6,24,,,,,6,,,,,,
,,,,Fire,,1,4,,,,1,,1,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,662,2600,0,8,0,1,651,4,0,0,0,0,
,4,"කළුතර
fSj;Jiw
Kalutara",Ingiriya,Heavy Rain & High wind,2020.08.06,50,160,,,,,50,,,,,,
,,,Bulathsinghala,,,5,19,,,,3,2,,,,,,
,,,Palindanuwara,,,9,30,,,,,9,,,,,,
,,,Walallawita,,,5,19,,,,,5,,,,,,
,,,Mathugama,,,14,40,,,,,14,,,,,,
,,,Millaniya,,,4,15,,,,,0,,,,,,
,,,Dodangoda,,,5,20,,,,,5,,,,,,
,,,Bandaragama,,,7,21,,,,3,4,,,,,,
,,,Panadura,,,40,130,,,,,40,,,,,,
,,,Agalawatta,,,3,11,,,,,3,,,,,,
,,,Beruwala,,,1,3,,,,,1,,,,,,
,,,Kalutara,,,6,20,,,,,6,,,,,,
,,,Madurawala,,,9,30,,,,,9,,,,,,
,,,Horana,,,39,100,,,,,39,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,197,618,0,0,0,6,187,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,859,3218,0,8,0,7,838,4,0,0,0,0,
"දකුනු පලාත njd;
khfhzk;
Southern",5,"ගාල්ල
fhyp
Galle",Kadawathsathara,Heavy Rain & High wind,2020.08.06,1,4,,,,,1,,,,,,
,,,Elpitiya,,,1,4,,,,,1,,,,,,
,,,Baddegama,,,2,7,,,,,2,,,,,,
,,,Hikkaduwa,,,8,31,,,,,8,,,,,,
,,,Thawalama,,,1,6,,,,,2,,,,,,
,,,Ambalangoda,,,5,20,,,,,5,,,,,,
,,,Bope Poddala,,,5,22,,,,,5,,,,,,
,,,Karandeniya,,,7,24,,,,,7,,,,,,
,,,Welivitiya Divithura,,,2,7,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,32,125,0,0,0,0,33,0,0,0,0,0,
,6,"මාතර
khj;jiw
Matara",Matara,Heavy Rain & High wind,2020.08.06,1,,,,,,,,,,,,
,,,Pitabeddara,,,4,16,,,,,,,,,,,
,,,Thihagoda,,,3,9,,1,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,8,25,0,1,0,0,2,0,0,0,0,0,
,7,"හම්බනකතාට
`k;ghe;Njhl;il
Hambantota",Thangalla,Heavy Rain & High wind,2020.08.06,10,42,,1,,,10,,,,,,
,,,,,2020.08.09,1,4,,,,,1,,,,,,
,,,Beliatta,Tree Fallen,202.08.05/06,2,9,,,,,2,,,,,,
,,,,,2020.08.08,2,7,,,,,2,,,,,,
,,,Thissamaharama,Heavy Rain & High wind,2020.08.06,2,9,,,,,2,,,,,,
,,,,,2020.08.08,1,4,,,,,1,,,,,,
,,,Katuwana,,2020.08.07,2,4,,,,,2,,,,,,
,,,,,2020.08.09,3,11,,,,,3,,,,,,
,,,Weeraketiya,,2020.08.08,1,4,,,,,1,,,,,,
,,,,,2020.08.11,1,4,,,,,1,,,,,,
,,,Walasmulla,,2020.08.08,2,6,,,,,2,,,,,,
,,,,,2020.08.09,1,2,,,,,1,,,,,,
,,,,,2020.08.10,2,9,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,30,115,0,1,0,0,30,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,70,265,0,2,0,0,65,0,0,0,0,0,
