River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.50,2.39,Normal,,0.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.16,9.96,Normal,,57.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.72,1.63,Normal,,93.6,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.48,0.48,Normal,,2.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.59,0.53,Normal,,85.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.61,0.61,Normal,,18.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.75,0.73,Normal,,21.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.20,5.20,Normal,,6.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.41,1.29,Normal,,32.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.93,2.90,Normal,,8.5,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.98,2.95,Normal,,42.7,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.10,2.10,Normal,,26.2,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.72,1.75,Normal,,36.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.45,0.47,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.30,3.36,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.09,1.07,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.69,0.69,Normal,,0.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.12,1.19,Normal,,8.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.19,1.18,Normal,,23.9,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.97,0.97,Normal,,3.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.76,1.76,Normal,,20.6,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.65,0.78,Normal,,1.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.50,1.49,Normal,,2.6,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.20,1.18,Normal,,47.7,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.03,1.02,Normal,,2.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.54,0.55,Normal,,4.5,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.68,1.69,Normal,,4.5,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.04,-1.05,Normal,,21.7,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.32,1.30,Normal,,10.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.84,0.83,Normal,,0.5,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.92,0.91,Normal,,2.6,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.25,2.37,Normal,,3.7,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.29,1.27,Normal,,26.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.25,2.21,Normal,,28.5,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.42,0.42,Normal,,2.5,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.06,2.06,Normal,,4.9,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.26,2.25,Normal,,3.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.12,1.12,Normal,,10.9,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.78,2.70,Normal,,120.3,
