River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,2.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.03,4.08,Normal,,,7.1,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.06,12.11,Normal,,9.,,3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.92,1.90,Normal,,2.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.50,1.52,Normal,,10.,,7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.81,1.80,Normal,,14.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.17,1.16,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.71,2.73,Normal,,2.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.46,8.50,Normal,,0.5,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.21,6.13,Alert,Falling,0.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.64,4.69,Alert,Rising,14.1,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.16,6.19,Alert,1.2,0.6,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.25,3.31,Normal,,14.3,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.15,3.12,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.85,0.96,Normal,,4.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.01,5.10,Alert,Rising,2.3,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.36,2.37,Normal,,1.2,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.86,1.80,Normal,,1.8,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.04,1.02,Normal,,4.6,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.74,0.73,Normal,,0.8,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.95,0.93,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.16,1.16,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.06,-0.07,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.77,0.77,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.52,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.23,0.23,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.26,0.22,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.18,-2.25,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.70,1.73,Normal,,0.5,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.91,1.84,Normal,,1.1,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.35,0.33,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.62,1.62,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.58,0.58,Normal,,1.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.91,2.88,Normal,,2.8,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.00,0.98,Normal,,2.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.62,2.61,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.46,3.46,Normal,,9.,,1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.45,2.48,Normal,,,7.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.18,3.22,Normal,,16.9,,,
