River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.80,2.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.11,2.08,Normal,,27.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.14,10.10,Normal,,35.8,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.55,1.33,Normal,,48.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.70,0.76,Normal,,20.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.78,0.75,Normal,,44.3,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.92,1.08,Normal,,25.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.39,1.55,Normal,,65.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.95,7.10,Normal,,112.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.82,5.05,Normal,,94.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.30,3.79,Normal,,95.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.73,4.81,Normal,,77.9,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.28,2.34,Normal,,44.2,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.51,2.94,Normal,,134.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.89,0.90,Normal,,84.9,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.55,3.66,Normal,,56.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.20,1.99,Normal,,55.4,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.39,0.75,Normal,,45.3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.73,1.85,Normal,,8.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.80,1.81,Normal,,3.4,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.59,1.59,Normal,,8.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.86,1.84,Normal,,1.3,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.82,0.81,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.42,1.39,Normal,,7.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.88,0.85,Normal,,7.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.35,0.34,Normal,,9.9,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.20,1.20,Normal,,17.7,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.74,-2.74,Normal,,10.2,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.52,1.73,Normal,,14.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.90,2.05,Normal,,33.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.80,0.77,Normal,,38.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.10,2.08,Normal,,25.1,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,2.3,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.48,3.49,Normal,,14.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.05,2.10,Normal,,18.7,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.28,2.36,Normal,,63.5,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.69,2.67,Normal,,64.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.40,1.43,Normal,,35.4,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.74,2.74,Normal,,61.8,,
