River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,1.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.04,4.00,Normal,,26.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.69,11.54,Normal,,38.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.90,Normal,,21.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.33,1.29,Normal,,34.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.95,0.93,Normal,,21.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.24,1.22,Normal,,18.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.65,1.64,Normal,,20.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.59,7.59,Normal,,44.3,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.30,3.20,Normal,,34.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.91,1.90,Normal,,10.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.48,4.49,Normal,,21.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.99,3.00,Normal,,73.5,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.44,2.42,Normal,,21.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.72,1.73,Minor Flood,Rising,45.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.79,5.76,Alert,Falling,60.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.01,1.59,Normal,,35.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.31,2.31,Normal,,48.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.23,1.20,Normal,,19.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.52,1.49,Normal,,8.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.80,0.69,Normal,,23.2,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.91,1.90,Normal,,23.4,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.18,0.15,Normal,,46.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.00,0.99,Normal,,13.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.50,0.50,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.41,0.41,Normal,,6.8,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.02,-1.03,Normal,,24.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.12,0.11,Normal,,24.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.90,-2.91,Normal,,3.3,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.34,3.38,Normal,,3.7,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.57,1.57,Normal,,31.1,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.67,0.60,Normal,,7.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.26,2.23,Normal,,0.4,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.74,1.70,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.37,0.34,Normal,,19.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.10,2.14,Normal,,89.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.45,4.40,Normal,,41.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.45,3.20,Normal,,18.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.52,3.50,Alert,Falling,51.4,
