,,"ය
ක
ක්
ි
සර
දි",,,,"ව
ා
ය
ඛ්‍
ාං
ස
.
ේ
ල
.
ා
ප්‍ර",,,,"ව
ා
ද
ප
ආ",,,,,"ේ
වු
ප
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,,,"ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ","න්
යි
ල
ග
ද්
පු",,,,"ම්
ෑ
ය
ය
මි",,,"න්
ය
ල
ග
ද්
පු
ූ
ල
ා
ව
තු",,,"න්
හ
ද
රු
තු
අ",,"නි
ා
හ
ස
ා
ව
නි
ණ
ර්
පූ",,,,"නි
ා
හ
ස
ා
ව
නි
ධ
ර්
අ",,,,"න
ා
ථ
රස
ත
ක්‍ෂි
ර
ආ",,"ව
ා
ය
ඛ්‍
ාං
ස",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ේ
වු
ප",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ල
ග
ද්
පු",,,,"න
ටි
සි
ල
ව
රස
ව
ල
නි
ති
ා
ඥ","ේ
වු
ප",,,"ල
ව
රස
ව
ව
ල
නි
ති
ා
ඥ","න්
යි
ල
ග
ද්
පු
න
ටි
සි",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ත
ි
න්
ාය
ක්‍රි",,,"න
ළ
ාප",,,,,,,,,,,,,,,,,,,
ගම්පහ,,,,,13,,,"ගංවතුර /
තද
වර්ෂාපත
නය /
දැඩි සුළං
/ නාය
යාම්",,,,,28093,,,,,110420,,,,,,3,,,1,,,,,5,,,216,,,,,17,,,,,,397,,,,,1432,,,,,251,,,,1078,,,
රත්තනපුර,,,,,10,,,,,,,,2028,,,,,8099,,,,,,3,,,1,,,,,6,,,511,,,,,7,,,,,,58,,,,,214,,,,,708,,,,2718,,,
ලකාළඹ,,,,,06,,,,,,,,12063,,,,,50011,,,,,,1,,,,,,,,,,,30,,,,,35,,,,,,4845,,,,,21271,,,,,,,,,,,,
පුත්තතලම,,,,,14,,,,,,,,7788,,,,,29131,,,,,,2,,,,,,,,,,,56,,,,,3,,,,,,08,,,,,19,,,,,4886,,,,19615,,,
කළුතර,,,,,14,,,,,,,,1382,,,,,5173,,,,,,3,,,2,,,,,4,,,70,,,,,11,,,,,,39,,,,,169,,,,,,,,,,,,
නුවරඑළිය,,,,,01,,,,,,,,70,,,,,301,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,,5,,,,,,,,,,,,
කෑගේල,,,,,11,,,,,,,,253,,,,,1059,,,,,,5,,,,,,,,3,,,121,,,,,3,,,,,,12,,,,,54,,,,,54,,,,229,,,
මහනුවර,,,,,04,,,,,,,,10,,,,,35,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
කුරුණෑගල,,,,,13,,,,,,,,1008,,,,,3653,,,,,,0,,,0,,,1,,2,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ගාේල,,,,,01,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,එකතුව,,,,,87,,,,,,,,52695,,,,,207882,,,,,,18,,,5,,,1,,20,,,1039,,,,,77,,,,,,5360,,,,,23164,,,,,5899,,,,23640,,
