District,Area,Remarks
Batticaloa,Kiran causeway,"Road is inundated and boat services is on-
going"
Puttalam,"Eluwankulam causeway is
inundated",Excess water from Rajanganaya tank
Polonnaruwa,"Somawathiya cultural are-
as is fully inundated",Due to spilling of Mahaweli river
