දිනය : 2026-05-17,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,25,95,70,වැසි වාර කිහිපයක්
මඩකලපුව,32,26,95,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,32,25,95,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,31,26,90,75,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,30,24,95,85,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ම නුවර,29,22,95,75,වැසි වාර කිහිපයක්
නුවරඑළිය,19,14,95,80,වැසි වාර කිහිපයක්
රත්නපුරය,30,23,95,85,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,32,24,95,70,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මන්නාරම,30,24,95,80,විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
