River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.20,3.10,Normal,,0.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.56,10.60,Normal,,23.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.03,1.78,Normal,,2.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.69,0.76,Normal,,4.5,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.72,0.77,Normal,,0.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.84,Normal,,7.1,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.52,2.52,Normal,,8.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.68,7.64,Normal,,1.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.65,2.59,Normal,,,11.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.89,2.86,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.15,7.11,Minor Flood,Falling,2.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.61,3.65,Alert,Rising,33.4,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.09,2.13,Normal,,25.7,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.07,2.07,Minor Flood,,35.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.34,5.32,Alert,Falling,4.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.47,1.48,Normal,,5.4,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.97,0.99,Normal,,4.8,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.99,2.50,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.52,4.61,Normal,,4.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.70,2.69,Normal,,1.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.44,1.44,Normal,,4.5,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.52,2.56,Normal,,33.1,,
