දින්‍ය : 2026-03-24,,,,,
න්‍ගරය,උෂ්ණත්වය(හස. අංශ්‍ක),,සාහේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,36,23,95,45,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,32,25,90,70,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,34,26,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,33,26,85,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,22,83,60,වැසි ස්වල්පයක්
මහනුවර,35,21,95,40,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,23,11,65,40,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,38,23,95,45,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,33,26,85,65,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,35,25,95,65,ප්‍රධාන වශහයන් වැසි රහිත
