River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.40,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.71,4.74,Normal,,69.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.45,13.59,Normal,,91.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.10,1.99,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,3.15,3.83,Minor Flood,Rising,103.,,9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.61,1.60,Normal,,5,5.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.60,1.60,Alert,,30.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.40,1.45,Normal,,127.4,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.29,7.90,Normal,,79.8,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.21,4.60,Normal,,32.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.33,2.50,Normal,,17.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.98,4.05,Normal,,20.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.30,2.38,Normal,,28.7,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.63,2.71,Normal,,98.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.22,1.23,Normal,,12.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.08,5.30,Alert,Rising,72.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.40,2.84,Normal,,23.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.51,2.52,Alert,Rising,13.5,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.13,4.13,Normal,,0.6,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.35,4.98,Alert,Falling,20.6,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.83,4.77,Normal,,23.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.92,4.15,Normal,,5,5.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.15,5.21,Minor Flood,Rising,23.6,,
