River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.55,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.34,3.29,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.09,11.04,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.97,0.95,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.03,1.02,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.95,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.76,1.80,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.58,7.60,Normal,,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.51,4.40,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.18,4.10,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.28,5.29,Alert,Rising,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.82,2.83,Normal,,0.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.13,4.13,Minor Flood,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.24,2.24,Minor Flood,,0.6,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.14,6.14,Minor Flood,,,,10.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.12,2.14,Normal,,,4.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.20,1.29,Normal,,26.7,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.13,3.13,Normal,,29.7,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.98,1.91,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.47,3.43,Alert,Falling,0.0,,,
