River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.15,2.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.78,2.75,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.31,10.28,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.69,1.80,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.82,0.81,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.75,0.72,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.89,0.88,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.29,2.31,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.10,7.00,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.36,2.49,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.66,5.50,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.27,7.31,Minor Flood,Rising,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.99,4.01,Minor Flood,Rising,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.63,2.57,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.06,2.08,Minor Flood,Rising,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.82,6.79,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.95,1.93,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.35,1.32,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.83,2.84,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.63,3.55,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.83,2.83,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.57,1.56,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.93,1.92,Normal,,0.0
