River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3:00
PM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.40,3.25,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,5.92,5.80,Normal,,12.5,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,13.04,12.95,Normal,,22.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.25,2.18,Normal,,24.5,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.14,1.26,Normal,,1.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,2.09,2.25,Normal,,36.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.03,1.11,Normal,,10.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.65,2.67,Normal,,11.6,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.00,9.01,Normal,,9.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.62,5.59,Alert,Falling,4.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.47,5.43,Alert,Falling,1,7.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.94,6.97,Minor Flood,Rising,5.1,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.99,4.01,Minor Flood,Rising,0.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.88,2.88,Normal,,13.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.50,1.50,Alert,,7.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.62,5.57,Alert,Falling,2.6,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.45,1.43,Normal,,4.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.63,0.61,Normal,,5.8,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.98,0.95,Normal,,5.7,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.10,1.11,Normal,,7.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.01,1.01,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.07,1.06,Normal,,3.4,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,8.1,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.16,-0.16,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.89,-2.89,Normal,,0.3,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.92,3.20,Normal,,33.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.27,2.40,Normal,,13.9,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.27,0.23,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.71,1.71,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.53,0.52,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.41,0.40,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.02,0.10,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.35,3.27,Normal,,1.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.97,1.95,Normal,,0.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.10,3.05,Normal,,2.6,,
