River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.30,5.40,Minor Flood,Rising,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,9.10,9.14,Minor Flood,Rising,7,6.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,17.25,17.23,Minor Flood,Falling,137.7,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.04,2.02,Normal,,16.9,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.30,2.34,Normal,,37.8,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,4.07,3.54,Normal,,23.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.98,Normal,,6.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.34,4.41,Minor Flood,Rising,22.7,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.43,12.46,Major Flood,Rising,6,8.9,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,9.13,9.14,Minor Flood,Rising,52.1,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,10.10,10.18,Major Flood,Rising,20.5,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.46,4.49,Minor Flood,Rising,23.7,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,8.97,8.92,Major Flood,Falling,38.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.94,1.97,Minor Flood,Rising,7.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.79,7.79,Major Flood,,5.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,5.95,5.79,Minor Flood,Falling,12.7,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.55,2.63,Alert,Rising,20.5,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.14,1.14,Normal,,0.5,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.39,0.37,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.80,0.70,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.39,1.38,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.7,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.81,0.80,Normal,,3.8,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.00,1.59,Normal,,4.5,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.21,0.21,Normal,,19.3,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.04,-3.05,Normal,,1.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.50,2.50,Normal,,0.7,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.67,1.69,Normal,,5.9,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.30,0.30,Normal,,1.6,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.52,1.51,Normal,,3.2,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.50,0.51,Normal,,3.7,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.14,1.15,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.31,0.31,Normal,,37.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.74,0.73,Normal,,6.2,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.05,4.37,Normal,,45.9,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.47,4.56,Normal,,161.8,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.70,4.80,Minor Flood,Rising,99.,,6,
