River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00
AM","Water
Level at
06:00
AM",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
06:00 AM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.40,1.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,3.61,3.36,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,11.55,11.45,Normal,,0.6,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.53,2.51,Normal,,40.4,,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.59,0.59,Normal,,1.4,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.27,1.27,Normal,,8.4,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,0.99,Normal,,24.,,,2
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.80,0.76,Normal,,1.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.00,6.00,Normal,,1,,7.3,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.24,2.21,Normal,,1,,7.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.40,1.45,Normal,,,13.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.78,2.74,Normal,,6.6,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.06,1.06,Normal,,4.6,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.56,1.58,Normal,,5.1,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.19,0.20,Normal,,5.2,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.39,2.38,Normal,,8.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.44,0.44,Normal,,9.2,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.13,0.13,Normal,,,13.9,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.66,0.68,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.58,0.75,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.97,0.92,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.94,0.94,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.22,-0.21,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.57,0.57,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.12,-0.12,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-3.43,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.18,4.15,Normal,,9.9,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.25,2.22,Normal,,1,,8.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.14,0.13,Normal,,1.8,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.65,1.66,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.04,-0.03,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.22,2.23,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.17,1.16,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.66,0.64,Normal,,0.0,,,
