River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
p.m.",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.50,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.52,4.54,Normal,,49.,,,5
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.96,12.30,Normal,,51.,,,6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.10,2.25,Normal,,6.8,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.59,2.46,Normal,,50.,,,1
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.03,1.38,Normal,,47.,,,7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.70,2.05,Alert,Rising,58.,,,3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.09,2.06,Normal,,0.7,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.04,7.40,Normal,,83.5,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.77,3.03,Normal,,12.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.98,2.70,Normal,,11.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.85,5.87,Alert,Rising,8.3,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.72,2.70,Normal,,0.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.43,2.71,Normal,,3,,8.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.88,1.88,Minor Flood,,1.8,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.57,5.59,Alert,Rising,6.4,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.85,2.00,Normal,,3,,2.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.56,2.45,Normal,,,22.3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.82,2.86,Alert,Rising,4.9,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.91,1.99,Normal,,,24.6,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.42,3.30,Normal,,0.5,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.10,4.04,Normal,,2.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.95,3.17,Normal,,49.,,,3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.88,4.88,Minor Flood,,,25.0,,
