River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.73,2.68,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.60,10.65,Normal,,0.4,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.86,1.80,Normal,,0.8,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.91,0.90,Normal,,3.1,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.73,0.72,Normal,,4.1,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.08,1.08,Normal,,1.5,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.34,1.36,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.00,7.04,Normal,,22.6,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.02,2.91,Normal,,0.0,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.43,2.36,Normal,,2.5,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.64,4.62,Normal,,0.3,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.93,2.93,Normal,,26.0,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.25,2.25,Normal,,1,,1.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.78,1.78,Minor Flood,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.07,5.09,Alert,Rising,27.2,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.63,1.65,Normal,,,7.2,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.02,1.02,Normal,,14,,,.6,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.93,2.93,Normal,,0.3,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.63,1.62,Normal,,15,,,.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.68,2.64,Normal,,2.5,,,,
