Areas warned to be go under effect of floods,,
NO,"Divisional
Secretariat
Division",Grama Niladhari Division
01,Athuraliya,"Pahala Athuralliya, Athuraliya West, Athuraliya East, Ihala Athuraliya,
Yahamulla, Namburukanda, Balakaduwa, Thibbotuwewa,
Thibbotuwewa North, Welagepiyadda, , Panadugama, Wilpita East,
Wilpita West, Maragoda, Kanahalagama, Godapitiya, Hawpe,
Thalahagama West, Wenagama, Welihena, Divitura"
02,Akuressa,"Henegama, Paraduwa East, Paraduwa North, Paraduwa South,
Melewwa, Yakabedda, Akuressa, Pormba, Imbulgoda, Hikgoda,
Diyalape, Iluppella, Eramadugoda, MEnikgoda, Bopitiya, Pahala
Maliduwa, Ketanwila, Ihala Maliduwa, Ehelape, Dediyagala,
Asmagoda, marmba North, Ganhela, Peddapitiya North, Minipogoda,
Dikatudeniya, Marmba South, Hulanduwa, LEnama North, LEnama
South"
03,Malimbada,"Algiriya, Pahala Kiyaduwa, Moragoda, Kekunawela, Kadduwa,
Dampella, Welandagoda, Uninduwela, Kadukanna, Katuwangoda,
Kirimetimulla North, Malimbada North, Malimbada South, Malimbada
East, Malimbada West, Galpamuna, Sulthanagoda West, Sulthanagoda
West, Sulthanagoda South, Akurugoda South, Akurugoda East,
Kirimetimulla South"
04,Tihagoda,"Yatiyana, Akkara panaha, MEda Uyangoda, Kottawatta, Batuwita,
Uduwa East, Galbada, Komangoda, Uduwa West, Thihagoda East,
Polathugoda. Narangala, Pahala witiyala West, Pahala witiyala
Central, Pahala witiyala East, Wellattota, Kitalagama East, Kitalagama
West, Kitalagama Central, Attudawa, Naimbala, Bandattara,
Kapuduwa, Thihagoda, Kapuduwa East, Attuduwa West, Watagedara,
Watagedara East, Elan batalagoda, Palatuwa, Unella, Nadagala"
05,Matara,"Diyagaha East, Diyagaha West, Navimana South, Makawita,
Kekanadura West, Weherahena, Weranduwa, Weragampita, Fort,
Kotamuna, Kadeweediya East, Uyanwatta, Walpola, Weliweriya East,
Thudawa East, Thudawa North, Thudawa South, Sudarchi Place,
Hittetiya East, Hittetiya West, Hittetiya Central, Matotagama,
Walgama North, Walgama South, Kanattagoda South,
Wewahamandoowa, Godagama, Eduwa-Madurudoowa"
06,Kamburupitiya,"Karagoda Uyangoda, Etha West, Etha East, Ihala Witiyala West, Ihala
Witiyala East, Ihala Witiyala North, Ihala Witiyala South, Lenabatuwa,
Palolpitiya, Urapola West, Akurugoda, Seewelgama, Mapalana Magin
Pahala, Ullala West, Pitakatuwana, Kamburupitiya, Godawa,
Nagamure, Sapugoda, Gathara East, Gathara West, gathara North"
