River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,2.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.47,3.52,Normal,,40.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.30,11.44,Normal,,25,.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.85,Normal,,24,.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.91,0.96,Normal,,25,.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.86,1.90,Normal,,42.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.68,0.70,Normal,,14.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.00,2.00,Normal,,3.8,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.23,7.33,Normal,,47.4,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.78,3.88,Normal,,21,.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.93,3.96,Normal,,9.9,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.45,5.50,Alert,Rising,9.5,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.22,4.18,Alert,Falling,37.6,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.71,3.74,Alert,Rising,7.3,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.38,1.40,Alert,Rising,29,.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.19,6.24,Minor Flood,Rising,38.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.22,3.16,Normal,,26,.9,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.87,1.88,Normal,,24,.1,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.67,2.68,Normal,,19,.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.44,1.45,Normal,,25,.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.57,3.59,Alert,Rising,28,.5,
