දින්‍ය : 2026-07-07,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,25,95,55,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මඩකලපුව,35,25,75,60,ප්‍රධ්‍ාන වශවයන වැසි රහිත
වකාළඹ,32,27,80,70,වැසි ස්වල්පයක්
ගාල්ල,30,28,85,75,වැසි ස්වල්පයක්
යාපනය,33,28,70,60,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මහනුවර,30,21,95,55,වැසි ස්වල්පයක්
නුවරඑළිය,19,14,90,60,වැසි ස්වල්පයක්
රත්නපුරය,32,25,90,60,වැසි ස්වල්පයක්
ිකුණාමලය,36,26,80,45,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මනනාරම,31,26,80,75,ප්‍රධ්‍ාන වශවයන වැසි රහිත
