River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.80,1.90,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.17,2.22,Normal,,,29.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.35,10.45,Normal,,16.1,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.85,1.80,Normal,,9.3,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,3.68,3.38,Alert,Falling,,44.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.89,0.87,Normal,,7.8,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.88,1.81,Alert,Falling,,49.9,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.40,2.40,Normal,,13.7,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.34,6.29,Normal,,5.4,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.14,3.23,Normal,,12.9,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.60,3.67,Normal,,15.8,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.78,6.75,Minor Flood,Falling,,28.6,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.30,4.30,Minor Flood,,1.0,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.33,2.36,Normal,,2.3,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.68,1.67,Alert,Falling,58.,,6,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.05,4.99,Normal,,8.2,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.31,1.29,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.08,1.09,Normal,,1.5,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.28,1.28,Normal,,11.6,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,3.80,3.59,Normal,,,32.8,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,2.30,2.04,Normal,,86.8,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.69,3.52,Normal,,13.7,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.23,0.23,Normal,,17.7,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.90,1.89,Normal,,20.2,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.20,2.15,Normal,,67.1,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.08,1.06,Normal,,17.8,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.41,1.35,Normal,,12.3,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.30,-2.10,Normal,,7.2,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.90,4.05,Normal,,,38.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.95,1.91,Normal,,,33.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.21,1.20,Normal,,,38.1,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,3.43,3.53,Normal,,,29.4,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.20,1.20,Normal,,17.9,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.75,1.75,Normal,,18.2,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.99,6.00,Minor Flood,Rising,7.9,,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.10,4.33,Normal,,13.8,,,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,5.40,5.70,Alert,Rising,99.2,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.70,4.70,Minor Flood,,,43.4,,,
