River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,1.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.93,2.88,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.84,10.80,Normal,,,3.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.89,1.90,Normal,,,,5.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.67,0.67,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.12,1.16,Normal,,20.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.86,Normal,,,3.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.56,3.54,Alert,Falling,0.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.06,9.01,Normal,,,3.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.83,2.75,Normal,,1.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.38,2.35,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.49,7.45,Minor Flood,Falling,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.71,1.69,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.85,2.80,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.74,0.73,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.12,3.09,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.72,0.71,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.22,0.22,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.24,1.22,Normal,,0.0,,
