6,"හම්බනලතාට
`k;ghe;Njhl;il
Hambantota",Okewela,Fire,2022.08.02,1,4,,,,,,1,,,,,
,,Walasmulle,Landslide,2022.08.01,2,6,,,,,2,,,,,,
,,,Flood,,1,3,,,,,1,,,,,,
,,,"Heavy Rain & High
wind",,2,10,,,,,2,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,6,23,0,0,0,0,5,1,0,0,0,0,
7,"මාතර khj;jiw
Matara",Malimbada,High wind,2022.08.01,1,3,,,,,1,,,,,,
,,Pasgoda,,,8,25,,,,,8,,,,,,
,,Pitabeddara,,,19,71,,,,,19,,,,,,
,,Kamburupitiya,,2022.08.01,1,3,,,,,1,,,,,,
,,Waligama,,2022.08.01,5,25,,,,,5,,,,,,
,,Mulatiyana,,2022.08.02,7,28,,,,,7,,,,,,
,,Devinuwara,,2022.08.02,5,19,,,,,5,,,,,,
,,Matara,,2022.08.01,2,9,,,,,2,,,,,,
,,Dikwella,,2022.08.01,2,9,,,,,2,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,50,192,0,0,0,0,50,0,0,0,0,0,
පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,58,223,0,0,0,0,57,1,0,0,0,0,
8,"රත්නපුර
,uj;jpdGhp
Rathnapura",Godakawela,"High wind & Heavy
Rain/Flood",2022.08.01/04,15,53,,,,,11,,,,,,
,,Elapatha,,2022.08.01,237,777,,,,,20,,,,,,
,,Nivithigala,,,34,117,,,,,33,1,,,,,
,,Kalawana,,,4,13,,,,,4,,,,,,
,,Ayagama,,,2,7,,,,,1,,,,,,
,,Kahawatta,,,23,93,,,,,13,,,,,,
,,Weligapola,,2022.08.01,9,38,,,,,6,,,,,,
,,Rathnapura,,,1396,5611,,,,,722,110,,,,,
,,Balangoda,,2022.08.02,2,7,,,,,2,,,,,,
,,Pelmadulle,,2022.08.01,163,546,,,,,162,1,,,,,
,,Kolonna,,,5,16,,,,,5,,,,,,
,,Ehaliyagoda,,,7,20,,,,,7,,,,,,
,,Opanayaka,,,10,37,,,,,6,,,,,,
,,Kuruwita,,,9,39,,,,,9,,,,,,
,,Kiriella,,,4,14,1,,,,3,,,,,,
,,Kaltota,,2022.08.02,5,20,,,,,5,,,,,,
,,Imbulpe,,2022.08.03,9,36,,,,,6,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1934,7444,1,0,0,0,1015,112,0,0,0,0,
9,"කෑගල්ල Nffhiy
Kegalle",Yatiyantota,Cutting Failure,2022.08.01,1,4,,,,,1,,,,,,
,,,Flood,,21,77,,,,,17,,,,,,
,,,Yatiyantota,2022.08.03/04,5,14,,,,,5,,,,,,
,,Dehiovita,High wind,2022.08.01,5,20,,,,,5,,,,,,
,,,Flood,,3,11,,,,,3,,,,,,
,,,Tree Fallen,2022.08.02,2,11,,,,,2,,,,,,
,,,High wind,2022.08.03,2,8,,,,,2,,,,,,
,,,High wind,2022.08.04,1,4,,,,,1,,,,,,
,,Kegalle,Tree Fallen,2022.08.01,1,2,,,,,1,,,,,,
,,,,2022.08.03/04,3,10,,,,,3,,,,,,
,,,,2022.08.04,1,4,,,,,1,,,,,,
,,Ruwanwelle,High wind,2022.08.04,5,15,,,,,5,,,,,,
,,,Tree Fallen,2022.08.01,6,23,,,,,6,,,,,,
,,Rambukkana,Tree Fallen,,1,4,,,,,1,,,,,,
,,Aranayaka,High wind,,1,4,,,,,1,,,,,,
,,,,2022.08.02,2,5,,,,,2,,,,,,
,,,Tree Fallen,2022.08.03/04,7,31,,,,,7,,,,,,
,,,Cutting Failure,2022.08.03/04,2,6,,,,,2,,,,,,
,,,High wind,2022.08.04/05,5,18,,,,,5,,,,,,
