River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 am","Water
Level at
06:00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
06.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.10,3.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.35,5.30,Normal,,5.9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.30,12.22,Normal,,15.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.75,1.98,Normal,,29.1
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.12,1.12,Normal,,12.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.65,1.71,Normal,,23.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.93,Normal,,6.2
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.18,4.15,Minor Flood,Falling,20.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.81,9.79,Normal,,7.6
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.93,4.90,Normal,,31.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.44,3.30,Normal,,35.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.96,7.92,Minor Flood,Falling,4.9
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.95,2.75,Normal,,36.6
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.33,4.31,Minor Flood,Falling,7.8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.22,2.22,Minor Flood,,27.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.87,6.83,Minor Flood,Falling,72.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.90,2.76,Normal,,78.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.70,1.63,Normal,,34.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.07,3.07,Normal,,33.8
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.82,1.83,Normal,,12.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.55,3.55,Alert,,7.7
