දින්‍ය : 2026-02-16,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශ්‍ක),,සාපේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,30,21,95,70,ප්‍රධ්‍ාන වශ්යන වැසි රහිත
මඩකලපුව,29,24,95,80,සිහින වැසි වාර කිහිපයක්
්කාළඹ,31,24,80,60,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,29,24,95,75,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,30,22,85,65,ප්‍රධ්‍ාන වශ්යන වැසි රහිත
මහනුවර,28,21,95,85,සිහින වැසි වාර කිහිපයක්
නුවරඑළිය,20,13,95,75,සිහින වැසි වාර කිහිපයක්
රත්නපුරය,33,23,95,70,සවස 2.00න පසුව වැසි ්හෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,29,25,90,70,ප්‍රධ්‍ාන වශ්යන වැසි රහිත
මනනාරම,31,25,90,70,ප්‍රධ්‍ාන වශ්යන වැසි රහිත
