River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at
03.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.45,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.24,3.21,Normal,,63.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.97,10.97,Normal,,0.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.87,Normal,,10.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.91,0.89,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.93,0.95,Normal,,4.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,0.92,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.86,1.90,Normal,,8.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.65,7.66,Normal,,1.6,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.12,3.99,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.87,3.79,Normal,,2.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.38,5.40,Alert,Rising,15.7,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.00,3.31,Normal,,2,8.9
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.11,4.10,Minor Flood,Falling,0.7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.24,2.23,Minor Flood,Falling,0.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.14,6.20,Minor Flood,Rising,3,6.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.08,2.17,Normal,,3,4.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.44,1.48,Normal,,2,8.4
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.13,3.08,Normal,,65.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.76,1.72,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.40,3.37,Alert,Falling,9.6,
