River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.76,5.68,Normal,,59.1
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.62,12.50,Normal,,36.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.86,1.86,Normal,,36.1
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.02,0.99,Normal,,8.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.58,1.54,Normal,,55.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.95,Normal,,3.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.21,3.22,Alert,Rising,40.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.06,9.07,Normal,,28.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.55,4.48,Normal,,15.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.15,5.19,Alert,Rising,27.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.12,7.13,Minor Flood,Rising,20.8
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.24,4.07,Alert,Falling,75.3
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.82,4.84,Minor Flood,Rising,51.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.65,2.66,Minor Flood,Rising,51.8
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.23,7.24,Minor Flood,Rising,27.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.97,3.83,Normal,,142.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.90,1.81,Normal,,84.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.74,0.74,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.19,-0.19,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.46,0.46,Normal,,7.9
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.95,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.32,-0.32,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.72,0.71,Normal,,40.7
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.53,0.53,Normal,,29.9
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.38,0.32,Normal,,8.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.41,-1.41,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.27,-0.27,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.11,-3.11,Normal,,50.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.25,2.23,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.55,1.54,Normal,,1.1
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.40,0.39,Normal,,36.5
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.37,1.37,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,31.5
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.31,0.31,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.04,-0.04,Normal,,2.4
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.21,0.21,Normal,,29.9
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.51,3.47,Normal,,15.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.21,2.19,Normal,,18.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.82,4.84,Minor Flood,Rising,68.3
