River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.50,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.46,4.41,Normal,,2.9,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.73,11.67,Normal,,8.5,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.91,1.93,Normal,,16.4,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.15,1.15,Normal,,7.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.18,1.26,Normal,,15.4,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.87,Normal,,16.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.44,2.40,Normal,,0.5,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.92,6.87,Normal,,6.7,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.10,2.08,Normal,,9.7,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.68,2.61,Normal,,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.22,6.18,Alert,Falling,6.4,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.90,1.90,Normal,,12,.8,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.65,2.63,Normal,,5.9,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.01,1.01,Normal,,0.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.45,3.42,Normal,,1.2,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.79,0.79,Normal,,3.9,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.20,0.20,Normal,,3.5,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.68,0.67,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.27,0.24,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.64,0.64,Normal,,7.8,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.03,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.30,-0.30,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.86,0.86,Normal,,0.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.39,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.19,0.19,Normal,,0.0,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.46,-0.44,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.68,0.70,Normal,,0.0,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.97,-1.97,Normal,,2.0,,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.40,3.50,Normal,,18.0,,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.80,1.78,Normal,,23.5,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.41,0.41,Normal,,0.0,,,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.96,0.98,Normal,,12,.3,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.58,1.58,Normal,,13,.3,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.33,0.33,Normal,,4.6,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.03,1.03,Normal,,0.8,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.10,0.06,Normal,,19.9,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.13,1.13,Normal,,1.5,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.05,3.03,Normal,,6.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.73,1.71,Normal,,7.9,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.26,3.22,Normal,,2.2,,,,
