ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -14,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනු ාධ්‍පු ය,31,22,95,75,වැසි ස්වල් යක්
මඩකලපුව,30,24,95,70,වැසි ස්වල් යක්
නකාළඹ,32,23,90,60,සවස 2.00ේ සුව වැසි නහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ොල්ල,29,24,90,75,සවස 2.00ේ සුව වැසි නහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යා නය,27,23,95,80,වැසි ස්වල් යක්
මහනුව,27,21,95,70,වැසි ස්වල් යක්
නුව එළිය,16,13,95,85,වැසි ස්වල් යක්
ත්තනපු ය,31,23,95,60,සවස 2.00ේ සුව වැසි නහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,29,23,95,80,වැසි ස්වල් යක්
මේනා ම,27,23,95,80,වැසි ස්වල් යක්
