River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.70,1.70,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.51,1.69,Normal,,3.4,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,10.67,10.99,Normal,,2,5.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.10,2.10,Normal,,62.7,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.40,0.41,Normal,,7.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.91,1.86,Normal,,2,9.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.71,0.73,Normal,,12.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.73,0.63,Normal,,16.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.00,6.05,Normal,,52.9,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.21,2.23,Normal,,12.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.50,1.54,Normal,,2,3.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.92,3.07,Normal,,17.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.17,1.20,Normal,,6.4,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.52,1.51,Normal,,3.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.38,0.40,Normal,,6.9,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.38,2.39,Normal,,6.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.43,0.43,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.01,0.00,Normal,,5.2,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.64,0.63,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.20,0.20,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.92,0.92,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.58,0.58,Normal,,8.1,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.23,0.23,Normal,,2,8.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.03,-0.03,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-3.07,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.12,3.12,Normal,,0.8,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.18,2.10,Normal,,2,4.6,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.17,0.14,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.67,1.67,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.05,0.05,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.95,1.94,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.90,0.90,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.44,0.44,Normal,,1.5,,
