ප්‍රධාන්‍ න්‍ෙර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -04,,,,,
න්‍ෙරය,උෂ්ණත්වය(ගස. අංශ්‍ක),,සාගේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,23,95,70,සිහින් වැසි වාර කිහිපයක්
මඩකලපුව,29,25,90,75,විටින් විට වැසි
ගකාළඹ,33,25,85,65,ප්‍රධාන වශගයන් වැසි රහිත
ොේල,29,25,90,80,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,24,90,70,වැසි සරවේපයක්
මහනුවර,29,21,90,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,20,14,85,60,වැසි වාර කිහිපයක්
රත්නපුරය,33,22,95,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,29,23,90,75,වැසි වාර කිහිපයක්
මන්නාරම,29,24,90,75,ප්‍රධාන වශගයන් වැසි රහිත
