River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12:00 noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.50,1.45,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,2.81,3.50,Normal,,5.9,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,13.65,14.30,Normal,,23,.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,3.15,3.20,Alert,Rising,38,.8,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,2.18,2.83,Normal,,25,.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,4.28,4.83,Alert,Rising,52.1,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.68,2.33,Alert,Falling,47.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.35,1.47,Normal,,2.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.05,7.36,Normal,,26,.1,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.27,6.60,Alert,Rising,11.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.90,5.03,Alert,Rising,29,.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.27,5.39,Alert,Rising,9.1,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.97,3.06,Normal,,4.6,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.65,4.84,Alert,Rising,5.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.55,0.66,Normal,,14.3,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.72,5.09,Alert,Rising,23,.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.64,2.77,Normal,,13.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.33,1.47,Normal,,13.1,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.67,0.67,Normal,,6.7,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.09,1.09,Normal,,1.9,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.97,0.97,Normal,,0.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.97,0.97,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.18,0.18,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.14,-0.17,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.92,-2.93,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.95,6.02,Alert,Rising,33,.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,5.70,5.36,Minor Flood,Falling,46.7,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.21,0.22,Normal,,3.8,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.77,1.77,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,1.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.52,0.55,Normal,,19,.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.06,-0.02,Normal,,55.7,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.25,-0.25,Normal,,4.5,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.92,1.93,Normal,,9.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.99,1.05,Normal,,35,.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.16,2.28,Normal,,13.7,,
