"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
දිනය /jpfjp / Date : 04th September 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"Heavy Rain & High
windආපදාව mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp Date
of commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhak
ile;Nj
hH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධ්‍යම පලාත
kj;jpa khfhzk
Central",1,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwaraeliya,Fire,2020.08.11,35,125,,,,24,,,,1,35,125,Muththumari amman Kovil
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,35,125,0,0,0,24,0,0,0,1,35,125,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,35,125,0,0,0,24,0,0,0,1,35,125,
"දකුනු පලාත
njd; khfhzk
;Southern",2,"හම්බන්්තාට
`k;ghe;Njhl;il",Katuwana,High Wind,2020.09.01,3,11,,,,,3,,,,,,
,,Hambantota,Hambantota,High Wind,2020.09.01,73,272,,,,,31,2,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,76,283,0,0,0,0,34,2,0,0,0,0,
,,,Kadawathsathara,,2020.09.01,1520,6702,,,,,,,,,,,
,,,Bopepoddala,,2020.09.01,2,11,,2,,,2,,,,,,
,3,,Akmeemana,Heavy Rain,2020.09.01,60,128,,,,,,,,,,,
,,ොල්ල/fhyp/Galle,Niyagame,,2020.09.01,8,32,,,,,8,,,,,,
,,,Elpitiya,,2020.09.01,76,275,,,,,21,,,,,,
,,,Nagoda,,2020.09.02,5,18,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1671,7166,0,2,0,0,31,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1747,7449,0,2,0,0,65,2,0,0,0,0,
"උතුරු පලාත
tl khfhzk
Northen",5,මන්නාරම,Mannar Town,Lightning & High Wind,2020.09.01,100,403,,,,,3,,,,,,
,,kd;dhH,Nannadan,,,46,154,,,,,46,,,,,,
,,Mannar,Musali,,,224,861,,3,,,219,5,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,370,1418,0,3,0,0,268,5,0,0,0,0,
,6,"වව්නියාව
tTdpah
Vavuniya",Vavuniya Town,High Wind,2020.08.31,55,169,,,,5,50,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,55,169,0,0,0,5,50,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,425,1587,0,3,0,5,318,5,0,0,0,0,
"නැ්ෙනහිර පලාත
fpof;F Eastern",7,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Town & Gravets,High Wind,2020.08.31,1,7,,,,,1,,,,,,
,,,Kanthale,,,17,59,,,,,17,,,,,,
,,,,,2020.09.02,1,3,,,,,1,,,,,,
,,,Pathavisripura,,2020.08.30,1,4,,,,,1,,,,,,
,,,Seruvila,,2020.09.01,1,4,,,,,1,,,,,,
,,,Thambalagamam,,2020.09.02,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,22,81,0,0,0,0,22,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,22,81,0,0,0,0,22,0,0,0,0,0,
"උතුරුමැද
පලාත/tlkj;jpa
khfhzk;/ North
Central/",,්පා්ලාන්නරුව/ng,Welikanda,High Wind,2020.08.31,3,13,,,,,3,,,,,,
,9,hyd;dWit/Polo,Hingurakgoda,Lightning,2020.08.31,1,5,1,,,,,,,,,,
,,nnaruwa,Thamankaduwa,High Wind,2020.08.31,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,5,22,1,0,0,0,4,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,5,22,1,0,0,0,4,0,0,0,0,0,
"ඌව/Cth
khfhzk;/Uva",,,Monaragala,Highwind,2020.08.31,12,56,,,,,12,,,,,,
,,්මානරාෙල/nkhd,Buttala,Highwind,2020.08.31,56,252,,1,,,56,,,,,,
,10,whfiy,Medagame,Highwind,2020.08.31,4,19,,,,,4,,,,,,
,,Moneragala,Bibila,Highwind,2020.08.31,12,51,,,,,12,,,,,,
,,,Badalkumbura,Highwind,2020.08.31,2,9,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,86,387,0,1,0,0,86,0,0,0,0,0,
,,,Haliela,Highwind,2020.09.01,22,90,,,,,22,,2,,,,
,,,Badulla,,2020.08.31,4,14,,,,,3,,,,,,
,,,,Fire,2020.08.17,,,,,,,,,,1,12,54,
