දින්‍ය : 2026-06-23,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,34,26,85,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,31,26,95,70,වැසි වාර කිහිපයක්
ගාල්ල,30,26,95,80,වැසි වාර කිහිපයක්
යාපනය,32,28,80,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,30,21,95,65,වැසි වාර කිහිපයක්
නුවරඑළිය,21,14,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,31,24,95,80,වැසි වාර කිහිපයක්
ිකුණාමලය,35,26,85,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,30,27,90,75,වැසි ස්වල්පයක්
