River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.20,4.20,Alert,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.41,6.32,Normal,,4,,,.2,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.03,12.01,Normal,,6.5,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.91,1.90,Normal,,4,,,.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.02,1.01,Normal,,,1.4,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.27,1.26,Normal,,,,3.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.86,0.87,Normal,,0.0,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.68,3.68,Alert,,,1.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.86,9.85,Normal,,,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.60,4.53,Normal,,5.9,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.97,3.95,Normal,,8.7,,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.99,7.97,Minor Flood,Falling,0.0,,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.35,2.28,Normal,,6.6,,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.86,3.84,Alert,Falling,0.0,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.22,1.21,Normal,,0,,,.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.53,4.47,Normal,,5.4,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.93,0.93,Normal,,7.4,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.25,0.25,Normal,,4,,,.6,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.03,2.97,Normal,,0.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.68,1.65,Normal,,8.4,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.55,4.50,Minor Flood,Falling,,,3.3,,,
