River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
PM"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.60,2.40,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.31,3.26,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.97,10.95,Normal,,3.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.87,1.65,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.82,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.04,1.05,Normal,,35.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,0.99,Normal,,4.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.00,1.95,Normal,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.77,6.73,Normal,,5.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.31,2.31,Normal,,3.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.30,2.30,Normal,,3.7
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.32,5.26,Alert,Falling,4.7
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.20,2.17,Normal,,2.7
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.35,4.32,Minor Flood,Falling,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.42,2.41,Minor Flood,Falling,1.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.89,5.86,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.78,1.78,Normal,,1.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.00,1.00,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,0.44,0.36,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.07,2.04,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.36,2.34,Normal,,0.0
