දින්‍ය : 2026-07-23,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,25,90,55,ප්‍රධාන වශයයේ වැසි රහිත
මඩකලපුව,33,27,90,60,ප්‍රධාන වශයයේ වැසි රහිත
යකාළඹ,32,27,90,70,වැසි ස්වල්පයක්
ගාල්ල,31,28,85,75,වැසි ස්වල්පයක්
යාපනය,32,27,85,65,ප්‍රධාන වශයයේ වැසි රහිත
මහනුවර,30,20,95,60,ප්‍රධාන වශයයේ වැසි රහිත
නුවරඑළිය,21,12,90,50,ප්‍රධාන වශයයේ වැසි රහිත
රත්නපුරය,34,24,95,55,ප්‍රධාන වශයයේ වැසි රහිත
ිකුණාමලය,36,26,90,40,ප්‍රධාන වශයයේ වැසි රහිත
මේනාරම,30,28,85,70,ප්‍රධාන වශයයේ වැසි රහිත
