River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9:00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,1.75,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.15,3.14,Normal,,13.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.65,10.64,Normal,,2.1,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.80,Normal,,2.4,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.73,0.73,Normal,,2.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.98,0.98,Normal,,4.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,0.6,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.06,4.04,Minor Flood,Falling,3.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.32,8.22,Normal,,10.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.79,2.79,Normal,,3.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.99,2.96,Normal,,5.1,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.30,7.26,Minor Flood,Falling,4.9,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.07,4.05,Minor Flood,Falling,22.9,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.62,2.64,Normal,,18.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.93,1.93,Minor Flood,,4.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.29,5.28,Alert,Falling,7.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.68,1.71,Normal,,5.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.05,1.10,Normal,,11.3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.10,1.09,Normal,,5.3,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.41,0.41,Normal,,7.6,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,1.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.36,1.36,Normal,,1.9,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,8.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.73,0.73,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.38,Normal,,0.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.29,0.29,Normal,,0.8,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.00,0.00,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.09,-3.09,Normal,,2.3,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.21,2.25,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.25,1.25,Normal,,0.0,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.29,0.29,Normal,,0.7,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.48,0.48,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.08,1.07,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.71,0.71,Normal,,1.3,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.65,2.65,Normal,,3.3,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.37,1.38,Normal,,15.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.09,2.10,Normal,,8.0,,
