River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.25,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.39,4.68,Normal,,12.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.27,14.44,Normal,,40.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,3.05,3.00,Alert,Falling,92.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.45,2.28,Normal,,60.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.91,2.58,Normal,,55.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.55,1.55,Alert,,40.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.41,2.42,Normal,,15.6,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.37,9.39,Normal,,22.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,7.12,7.07,Alert,Falling,21.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.52,3.49,Normal,,27.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.78,5.78,Alert,,15.9,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.85,2.83,Normal,,33.3,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.08,3.08,Normal,,7.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.95,1.98,Minor Flood,Rising,13.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.28,6.25,Minor Flood,Falling,5.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.90,1.90,Normal,,19.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.01,1.00,Normal,,34.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.31,1.28,Normal,,2.3,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.17,0.17,Normal,,3.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.66,0.66,Normal,,6.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.11,1.10,Normal,,2.4,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.20,Normal,,10.6,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.98,0.98,Normal,,5.9,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.34,0.35,Normal,,0.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.18,0.17,Normal,,2.8,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.84,-0.84,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.30,0.30,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.02,-3.00,Normal,,5.8,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.85,6.90,Alert,Rising,66.6,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,4.30,3.92,Alert,Falling,120.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.51,0.54,Normal,,7.9,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,2.17,2.19,Normal,,44.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.63,1.63,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.34,0.34,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.80,0.80,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.02,-0.02,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.09,1.12,Normal,,3.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.66,2.71,Normal,,5.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.01,2.22,Normal,,19.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.94,1.05,Normal,,37.4,
