River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
08:00 pm","Water
Level at
09:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
09.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.85,3.80,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.11,11.13,Normal,,1.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.15,2.10,Normal,,12.1,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.76,0.94,Normal,,1.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.37,1.41,Normal,,19.1,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.06,3.06,Alert,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.41,8.38,Normal,,,5.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.30,3.50,Normal,,12.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.73,3.66,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.99,6.99,Minor Flood,,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.67,2.65,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.15,5.14,Major Flood,Falling,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.91,2.90,Major Flood,Falling,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.64,6.62,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.12,2.10,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.26,1.25,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.91,2.89,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.51,1.50,Normal,,0.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.68,3.62,Alert,Falling,1.2,,
