River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.50,3.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.43,6.43,Normal,,49.4,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.74,13.64,Normal,,61.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.93,Normal,,52.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.76,1.70,Normal,,48.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.74,1.66,Normal,,54.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.07,1.06,Normal,,23.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.86,3.87,Alert,Rising,14.6,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.39,10.40,Alert,Rising,75.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.69,6.66,Alert,Falling,47.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.12,5.16,Alert,Rising,18.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.39,8.41,Major Flood,Rising,47.3,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.86,3.77,Normal,,21.3,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.75,4.75,Minor Flood,,5.7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.40,2.41,Minor Flood,Rising,16.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.50,6.50,Minor Flood,,16.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.58,2.56,Normal,,14.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.70,1.70,Normal,,31.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.35,1.40,Normal,,20.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.20,-0.18,Normal,,33.2,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.40,0.40,Normal,,0.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.99,0.99,Normal,,28.2,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.31,-0.30,Normal,,22.9,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.71,0.70,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.44,-1.44,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.30,-0.30,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.03,-3.07,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.78,2.85,Normal,,11.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.83,1.78,Normal,,32.3,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.25,0.26,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.39,1.39,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.31,0.31,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.07,-0.08,Normal,,3.6,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.21,0.21,Normal,,13.5,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.99,4.00,Normal,,48.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.05,3.03,Normal,,36.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.90,4.91,Minor Flood,Rising,52.8,
