ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -15,,,,,
න්‍ගරය,උෂ්ණත්වය(හස. අංශක),,සාහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,22,95,70,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,30,23,95,75,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,31,23,95,65,ප්‍රධාන වශහයන් වැසි රහිත
ගාල්ල,29,24,95,80,සවස 4.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,22,95,75,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,30,19,95,65,ප්‍රධාන වශහයන් වැසි රහිත
නුවරඑළිය,19,9,95,70,ප්‍රධාන වශහයන් වැසි රහිත
රත්නපුරය,34,22,95,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,30,24,95,75,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,30,25,90,80,ප්‍රධාන වශහයන් වැසි රහිත
