දිනය : 2026-04-12,,,,,
නගරය,උෂණ් ත්වය(හෙ. අංශක),,ොහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,25,95,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මඩකලපුව,33,26,90,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,32,26,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,31,26,95,75,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,35,26,90,65,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,33,22,95,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,23,13,90,45,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,35,24,95,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,34,25,90,55,වැසි සව් ල්පයක්
මන්නාරම,35,26,95,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
