ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -18,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,28,24,95,75,විටින් විට වැසි
මඩකලපුව,29,24,95,75,විටින් විට වැසි
යකාළඹ,30,25,95,65,සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
ගාල්ල,31,25,85,70,සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
යාපනය,30,24,95,85,වැසි වාර කිහිපයක්
ම නුවර,30,21,90,65,විටින් විට වැසි
නුවරඑළිය,19,14,95,85,විටින් විට වැසි
රත්නපුරය,33,23,95,65,සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
ත්‍රිකුණාමලය,28,23,95,85,විටින් විට වැසි
මන්නාරම,30,23,95,80,විටින් විට වැසි
