River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,3.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.85,5.76,Normal,,35.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.59,13.31,Normal,,9,0.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.68,Normal,,112,,.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.72,0.69,Normal,,51.1,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.52,1.67,Normal,,184.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.58,0.58,Normal,,7.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.70,1.77,Normal,,42.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.09,8.11,Normal,,37.9,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.72,5.62,Alert,Falling,50.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.88,3.72,Normal,,29.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.11,5.20,Alert,Rising,43.4,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.90,2.81,Normal,,36.8,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.48,2.56,Normal,,17.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.69,0.72,Normal,,1.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.46,3.59,Normal,,9.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.26,1.23,Normal,,3.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.46,0.41,Normal,,10.6,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.79,0.79,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.30,0.30,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.71,0.71,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.24,1.23,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.17,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.75,0.75,Normal,,0.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.45,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.24,0.24,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.10,-1.10,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.04,0.04,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.97,-2.97,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.20,Normal,,5.2,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.41,Normal,,62.6,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.34,0.32,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.47,1.47,Normal,,0.0,,
"Maa Oya
(RB 69)",Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.90,0.90,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.03,-0.03,Normal,,0.8,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.21,0.21,Normal,,1.6,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.12,2.25,Normal,,52.7,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.28,1.25,Normal,,11.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.26,1.26,Normal,,14.0,,
