River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.85,1.90,Normal,,53.1,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,10.36,10.39,Normal,,,18.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.80,2.80,Normal,,69.9,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.49,0.50,Normal,,,23.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,2.63,2.62,Normal,,52.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.71,0.77,Normal,,,25.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.94,0.96,Normal,,7.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.57,5.69,Normal,,58.3,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.70,1.96,Normal,,68.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.10,4.20,Alert,Rising,76.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.51,4.56,Normal,,59.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.22,2.27,Normal,,,37.2,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.35,2.84,Normal,,85.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.45,0.46,Normal,,,24.1,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.98,3.06,Normal,,,36.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.78,0.80,Normal,,,23.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.49,0.58,Normal,,,34.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.62,0.61,Normal,,5.4,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.06,1.08,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.98,0.98,Normal,,5.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.97,0.97,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.56,0.56,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.17,Normal,,1.4,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,4.7,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.20,-0.20,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-2.90,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.86,1.90,Normal,,5.8,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.60,3.58,Alert,Falling,79.3,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.28,0.26,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.79,1.79,Normal,,76.2,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,,23.5,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.25,-0.25,Normal,,10.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.86,1.87,Normal,,,30.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.85,0.85,Normal,,4.7,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.60,1.70,Normal,,53.8,,
